Date,Open,High,Low,Close          Close price adjusted for splits.,Adj Close          Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Jun 5, 2025",53.75,54.62,53.25,53.25,53.25,"12,973,568"
"Jun 4, 2025",53.26,53.5,52.87,53.21,53.21,"18,904,700"
"Jun 3, 2025",52.86,53.09,52.37,53.09,53.09,"24,482,500"
"Jun 2, 2025",51.72,53.83,51.66,53.77,53.77,"39,386,800"
"May 30, 2025",49.85,50.72,49.72,50.65,50.65,"16,795,500"
"May 29, 2025",50.59,50.84,49.94,50.28,50.28,"11,855,600"
"May 28, 2025",49.92,50.36,49.78,50.35,50.35,"13,211,000"
"May 27, 2025",49.41,50.31,49.34,49.77,49.77,"20,431,100"
"May 23, 2025",50.35,50.79,49.75,50.53,50.53,"24,171,600"
"May 22, 2025",49.28,49.57,48.7,49.18,49.18,"16,934,800"
"May 21, 2025",49.08,49.7,48.97,49.44,49.44,"23,175,400"
"May 20, 2025",47.43,48.82,47.26,48.81,48.81,"26,942,300"
"May 19, 2025",47.1,47.4,46.65,47.34,47.34,"19,577,600"
"May 16, 2025",45.41,46.35,45.25,46.33,46.33,"17,272,000"
"May 15, 2025",46.05,46.6,45.61,46.49,46.49,"23,456,700"
"May 14, 2025",45.51,45.66,45.1,45.55,45.55,"26,797,000"
"May 13, 2025",46.72,46.75,46.16,46.54,46.54,"22,356,300"
"May 12, 2025",48.06,48.08,46.35,46.62,46.62,"42,761,600"
"May 9, 2025",49.62,50.47,49.11,50.37,50.37,"20,695,300"
"May 8, 2025",49.85,50.05,48.72,48.88,48.88,"20,400,400"
"May 7, 2025",49.54,50.28,49.29,49.82,49.82,"22,412,000"
"May 6, 2025",49.91,50.83,49.37,50.79,50.79,"31,155,000"
"May 5, 2025",48.87,48.9,48.05,48.72,48.72,"20,923,200"
"May 2, 2025",47.85,48.11,46.73,47.08,47.08,"14,244,100"
"May 1, 2025",47.55,47.64,46.89,47.2,47.2,"27,130,000"
"Apr 30, 2025",48,49.03,47.99,49.01,49.01,"15,832,300"
"Apr 29, 2025",48.78,49.21,48.4,48.48,48.48,"13,110,200"
"Apr 28, 2025",48.54,49.43,48.31,49.43,49.43,"15,128,300"
"Apr 25, 2025",48.22,48.9,48.08,48.81,48.81,"19,299,600"
"Apr 24, 2025",49.61,49.82,48.8,49.76,49.76,"22,803,300"
"Apr 23, 2025",47.93,49.18,47.77,48.73,48.73,"38,934,600"
"Apr 22, 2025",51.9,51.95,50.02,50.23,50.23,"38,019,600"
"Apr 21, 2025",52.66,53.25,50.95,51.66,51.66,"36,299,300"
"Apr 17, 2025",51.51,51.6,50.37,50.92,50.92,"25,643,000"
"Apr 16, 2025",52.31,52.81,51.29,51.91,51.91,"36,630,500"
"Apr 15, 2025",50.47,50.74,49.9,50.53,50.53,"14,842,000"
"Apr 14, 2025",48.95,50.2,48.42,50.02,50.02,"20,729,500"
"Apr 11, 2025",48.87,50.15,48.86,49.7,49.7,"40,991,500"
"Apr 10, 2025",45.27,47.66,45.16,47.17,47.17,"36,181,600"
"Apr 9, 2025",43.27,45.33,42.77,44.99,44.99,"47,895,600"
"Apr 8, 2025",43.27,43.53,41.18,41.5,41.5,"22,508,400"
"Apr 7, 2025",40.71,43.7,40.26,41.45,41.45,"33,751,700"
"Apr 4, 2025",44.48,44.57,41.46,41.68,41.68,"59,893,500"
"Apr 3, 2025",43.86,46.71,43.53,45.72,45.72,"30,543,000"
"Apr 2, 2025",45.77,46.01,45.12,45.76,45.76,"15,903,800"
"Apr 1, 2025",45.93,46.26,45.34,45.8,45.8,"17,174,800"
"Mar 31, 2025",46,46.1,44.5,45.97,45.97,"22,217,500"
"Mar 28, 2025",46.1,46.94,45.44,45.57,45.57,"21,557,400"
"Mar 27, 2025",45.22,45.9,44.92,45.76,45.76,"16,699,400"
"Mar 26, 2025",45.22,45.29,44.56,44.67,44.67,"10,123,300"
"Mar 25, 2025",44.87,45.62,44.86,45.02,45.02,"16,156,900"
"Mar 24, 2025",44.56,44.76,44.19,44.25,44.25,"14,465,100"
"Mar 21, 2025",44.54,44.63,43.84,44.5,44.5,"18,163,600"
"Mar 20, 2025",44.65,45.34,44.38,45.16,45.16,"10,082,900"
"Mar 19, 2025",44.87,45.28,44.54,45.23,45.23,"17,130,700"
"Mar 18, 2025",45.44,45.65,44.69,44.85,44.85,"21,782,900"
"Mar 17, 2025",43.86,44.63,43.77,44.57,44.57,"18,558,800"
"Mar 14, 2025",43.78,43.87,43.21,43.64,43.64,"23,488,100"
"Mar 13, 2025",42.18,43.54,42.07,43.21,43.21,"30,784,900"
"Mar 12, 2025",41.46,42.11,41.22,41.9,41.9,"17,152,200"
"Mar 11, 2025",40.9,42.04,40.85,41.84,41.84,"22,449,300"
"Mar 10, 2025",41.38,41.6,40.2,40.51,40.51,"20,333,800"
"Mar 7, 2025",41.42,42.31,40.92,41.64,41.64,"17,132,100"
"Mar 6, 2025",41.37,41.94,41.06,41.36,41.36,"16,373,000"
"Mar 5, 2025",40.2,41.72,40.19,41.7,41.7,"18,539,800"
"Mar 4, 2025",40.45,40.76,39.49,40.28,40.28,"18,770,600"
"Mar 3, 2025",40.39,40.86,39.51,39.71,39.71,"16,743,500"
"Feb 28, 2025",38.86,39.73,38.58,39.72,39.72,"15,602,200"
"Feb 27, 2025",40.2,40.46,39.42,39.46,39.46,"21,976,300"
"Feb 26, 2025",39.81,41.11,39.73,40.86,40.86,"12,880,600"
"Feb 25, 2025",40.66,40.79,39.53,40.38,40.38,"20,002,900"
"Feb 24, 2025",41.17,41.17,40.33,40.97,40.97,"12,704,000"
"Feb 21, 2025",42.02,42.03,40.75,40.8,40.8,"31,767,300"
"Feb 20, 2025",41.71,42.57,41.64,42.24,42.24,"16,326,300"
"Feb 19, 2025",41.35,41.7,41.11,41.54,41.54,"12,767,300"
"Feb 18, 2025",41.64,41.72,41.14,41.54,41.54,"21,365,800"
"Feb 14, 2025",42.6,42.66,41,41.08,41.08,"26,322,400"
"Feb 13, 2025",42.26,42.59,41.72,42.51,42.51,"17,219,600"
"Feb 12, 2025",41.36,42.48,41.1,42.13,42.13,"21,179,300"
"Feb 11, 2025",41.72,41.9,41.39,41.44,41.44,"15,264,200"
"Feb 10, 2025",41.95,42.21,41.8,41.96,41.96,"25,509,400"
"Feb 7, 2025",41.51,41.75,40.85,40.86,40.86,"19,136,200"
"Feb 6, 2025",41.07,41.16,40.67,41.13,41.13,"12,224,900"
"Feb 5, 2025",40.37,41.53,40.35,41.04,41.04,"25,371,500"
"Feb 4, 2025",39.87,40.18,39.67,40.03,40.03,"12,813,100"
"Feb 3, 2025",39.22,39.92,38.98,39.56,39.56,"20,541,800"
"Jan 31, 2025",39.52,39.68,38.8,38.96,38.96,"19,911,000"
"Jan 30, 2025",38.66,39.73,38.57,39.42,39.42,"28,590,100"
"Jan 29, 2025",37.66,38.25,37.45,37.9,37.9,"11,319,800"
"Jan 28, 2025",37.48,37.79,37.21,37.7,37.7,"10,986,700"
"Jan 27, 2025",37.59,37.59,36.85,37.35,37.35,"15,489,400"
"Jan 24, 2025",37.99,38.16,37.84,37.95,37.95,"13,728,000"
"Jan 23, 2025",37.12,37.52,36.84,37.5,37.5,"12,871,700"
"Jan 22, 2025",38,38.05,37.31,37.53,37.53,"12,555,800"
"Jan 21, 2025",37.11,37.95,37.11,37.61,37.61,"26,496,400"
"Jan 17, 2025",36.33,37.02,36.12,36.75,36.75,"16,420,400"
"Jan 16, 2025",36.97,37.17,36.58,36.62,36.62,"13,483,600"
"Jan 15, 2025",36.79,36.92,36.19,36.72,36.72,"17,436,900"
"Jan 14, 2025",35.51,36.41,35.51,36.32,36.32,"16,157,700"
"Jan 13, 2025",35.63,35.66,35.1,35.38,35.38,"15,738,500"
"Jan 10, 2025",36.66,36.9,35.74,35.97,35.97,"19,827,300"
"Jan 8, 2025",35.42,35.97,35.26,35.9,35.9,"25,009,000"
"Jan 7, 2025",35.25,35.86,34.87,35.05,35.05,"16,976,300"
"Jan 6, 2025",35,35.22,34.52,34.58,34.58,"13,039,000"
"Jan 3, 2025",35.23,35.3,34.97,35,35,"13,694,400"
"Jan 2, 2025",34.46,35.4,34.44,35.34,35.34,"24,527,000"
