Date,Open,High,Low,Close          Close price adjusted for splits.,Adj Close,Volume
"Jun 5, 2025",311.24,312.2,308.69,308.84,308.84,"4,589,323"
"Jun 4, 2025",309.41,311.88,308.74,310.9,310.9,"7,448,900"
"Jun 3, 2025",309.56,309.56,307.15,308.91,308.91,"9,315,100"
"Jun 2, 2025",309.21,311.72,308.72,311.67,311.67,"13,593,200"
"May 30, 2025",303.64,304.02,301.5,303.6,303.6,"9,553,300"
"May 29, 2025",305.74,306.89,304.46,305.61,305.61,"9,502,400"
"May 28, 2025",304.64,304.99,303.06,303.81,303.81,"8,803,300"
"May 27, 2025",303.81,304.88,302.74,304.5,304.5,"9,578,500"
"May 23, 2025",308.86,310.25,307.47,309.75,309.75,"13,339,500"
"May 22, 2025",305.09,305.28,302.1,303.11,303.11,"9,704,200"
"May 21, 2025",304.55,306.46,303.67,305.82,305.82,"12,414,500"
"May 20, 2025",298.35,303.68,298.3,303.58,303.58,"12,851,000"
"May 19, 2025",297.85,298.58,296.48,298.03,298.03,"11,656,300"
"May 16, 2025",292.62,294.58,291.78,294.24,294.24,"14,173,000"
"May 15, 2025",294.1,297.9,293.75,297.84,297.84,"13,497,700"
"May 14, 2025",293.67,294.8,291.96,293.16,293.16,"14,800,600"
"May 13, 2025",299.02,300.3,297.24,299.46,299.46,"10,233,600"
"May 12, 2025",298.33,299.47,296.82,298.19,298.19,"14,375,900"
"May 9, 2025",307.79,308.57,306.01,306.84,306.84,"6,913,100"
"May 8, 2025",309.76,310.48,303.05,304.63,304.63,"11,927,600"
"May 7, 2025",312.1,313.26,310.08,310.75,310.75,"7,888,300"
"May 6, 2025",313.12,315.62,311.4,315.48,315.48,"11,445,300"
"May 5, 2025",305.92,307.65,304.68,306.88,306.88,"8,924,000"
"May 2, 2025",300.17,300.85,297.03,297.98,297.98,"8,678,400"
"May 1, 2025",297.41,297.94,295.32,297.46,297.46,"14,969,100"
"Apr 30, 2025",304.61,306.07,303.44,303.77,303.77,"8,331,900"
"Apr 29, 2025",305.81,306.95,304,306.06,306.06,"6,852,100"
"Apr 28, 2025",304.15,309.11,302.97,309.07,309.07,"9,375,500"
"Apr 25, 2025",301.78,305.37,301.01,304.73,304.73,"10,691,600"
"Apr 24, 2025",306.98,308.5,304.71,308.07,308.07,"10,845,000"
"Apr 23, 2025",304.18,304.74,300.59,303.65,303.65,"25,421,500"
"Apr 22, 2025",317.49,317.63,310.36,311.11,311.11,"35,242,300"
"Apr 21, 2025",315.02,316.41,313.95,315.59,315.59,"20,372,300"
"Apr 17, 2025",306.31,307.13,302.73,306.12,306.12,"18,081,800"
"Apr 16, 2025",304.65,308.06,303.8,307.47,307.47,"20,778,100"
"Apr 15, 2025",296.93,298.02,296.09,297.78,297.78,"7,924,100"
"Apr 14, 2025",295.54,296.58,294.53,296.23,296.23,"12,427,600"
"Apr 11, 2025",297.96,299.27,296.81,297.93,297.93,"21,080,100"
"Apr 10, 2025",288.81,292.86,287.23,292.35,292.35,"19,837,800"
"Apr 9, 2025",282.22,285.87,281.04,285.38,285.38,"25,342,200"
"Apr 8, 2025",277.87,278.32,274.24,275.2,275.2,"12,639,500"
"Apr 7, 2025",278.86,280.14,272.58,273.71,273.71,"19,807,000"
"Apr 4, 2025",283.64,284.03,278.02,279.72,279.72,"21,517,200"
"Apr 3, 2025",282.78,289.09,282.45,286.42,286.42,"20,524,400"
"Apr 2, 2025",288.28,289.03,287.36,288.16,288.16,"11,074,800"
"Apr 1, 2025",288.54,289.13,285.91,287.57,287.57,"15,923,600"
"Mar 31, 2025",287.53,288.39,285.85,288.14,288.14,"13,925,100"
"Mar 28, 2025",283.82,284.64,282.86,284.06,284.06,"9,563,700"
"Mar 27, 2025",280.55,282.07,279.59,281.97,281.97,"8,476,300"
"Mar 26, 2025",278.93,279.02,277.78,278.24,278.24,"3,717,500"
"Mar 25, 2025",278.78,279.96,278.27,278.47,278.47,"5,090,200"
"Mar 24, 2025",278.91,279.09,276.86,277.25,277.25,"7,870,100"
"Mar 21, 2025",279.46,279.46,276.59,278.49,278.49,"9,359,300"
"Mar 20, 2025",279.49,280.9,279.43,280.75,280.75,"5,863,300"
"Mar 19, 2025",279.85,281.48,279.06,281.11,281.11,"8,822,200"
"Mar 18, 2025",279.9,280.21,278.97,279.96,279.96,"9,596,500"
"Mar 17, 2025",275.54,276.79,275.39,276.73,276.73,"8,583,400"
"Mar 14, 2025",276.27,276.3,274.66,275.24,275.24,"13,365,000"
"Mar 13, 2025",271.57,275.35,271.55,275.13,275.13,"13,741,500"
"Mar 12, 2025",268.47,271.23,268.36,270.33,270.33,"7,236,200"
"Mar 11, 2025",268.47,269.73,268.44,269.16,269.16,"8,436,600"
"Mar 10, 2025",267.62,268.44,265.64,266.04,266.04,"7,593,900"
"Mar 7, 2025",269.09,270.34,267.64,268.39,268.39,"10,431,200"
"Mar 6, 2025",268.25,269.51,268.16,268.25,268.25,"6,136,400"
"Mar 5, 2025",267.97,270.26,267.96,269.62,269.62,"6,990,400"
"Mar 4, 2025",269.01,269.4,267.52,269.06,269.06,"8,481,300"
"Mar 3, 2025",265.07,266.88,265.07,266.74,266.74,"7,725,600"
"Feb 28, 2025",262.56,263.4,261.25,263.27,263.27,"11,504,500"
"Feb 27, 2025",266.49,266.67,264.45,264.93,264.93,"9,374,600"
"Feb 26, 2025",267.08,269.08,266.66,269.03,269.03,"7,276,000"
"Feb 25, 2025",271.46,271.68,266.45,268.62,268.62,"10,079,800"
"Feb 24, 2025",271.45,272.32,270.38,272.21,272.21,"5,374,400"
"Feb 21, 2025",270.8,271.51,269.51,270.74,270.74,"8,917,400"
"Feb 20, 2025",270.23,271.84,270.17,270.99,270.99,"7,356,900"
"Feb 19, 2025",270.68,271.33,269.24,270.85,270.85,"9,342,500"
"Feb 18, 2025",269.68,271.01,269.6,270.7,270.7,"8,185,900"
"Feb 14, 2025",270.07,270.21,265.45,266.29,266.29,"11,546,700"
"Feb 13, 2025",268.4,270.39,268.22,270.31,270.31,"8,347,500"
"Feb 12, 2025",267.15,268.43,266.35,267.67,267.67,"9,328,600"
"Feb 11, 2025",267.7,268.36,266.71,267.39,267.39,"7,169,500"
"Feb 10, 2025",268,268.66,267.24,268.37,268.37,"13,250,300"
"Feb 7, 2025",265.22,266.35,263.26,263.9,263.9,"9,154,000"
"Feb 6, 2025",263.66,263.72,261.49,263.43,263.43,"8,731,400"
"Feb 5, 2025",264.45,265.99,263.89,264.13,264.13,"12,681,100"
"Feb 4, 2025",261.83,262.54,261.35,262.5,262.5,"9,850,400"
"Feb 3, 2025",259.75,261.39,259.52,259.94,259.94,"11,521,100"
"Jan 31, 2025",259.08,259.99,257.86,258.56,258.56,"8,965,600"
"Jan 30, 2025",257.2,258.29,256.45,258.05,258.05,"12,981,200"
"Jan 29, 2025",254.55,254.82,253.3,254.2,254.2,"5,671,800"
"Jan 28, 2025",254.23,255.25,253.89,255.18,255.18,"5,332,000"
"Jan 27, 2025",253.86,254.26,251.92,252.99,252.99,"5,799,800"
"Jan 24, 2025",255.96,257.07,255.61,255.65,255.65,"7,341,300"
"Jan 23, 2025",253.19,254.54,252.82,254.07,254.07,"6,511,500"
"Jan 22, 2025",254.29,254.68,253.78,254.43,254.43,"5,213,800"
"Jan 21, 2025",251.95,253.36,251.83,253.13,253.13,"7,668,100"
"Jan 17, 2025",249.7,250.81,249.15,249.27,249.27,"8,312,900"
"Jan 16, 2025",250.56,251.39,250.27,250.6,250.6,"9,236,000"
"Jan 15, 2025",248.21,248.9,247.01,248.88,248.88,"6,345,000"
"Jan 14, 2025",245.62,247.04,245.52,247.03,247.03,"4,914,800"
"Jan 13, 2025",246.34,246.79,245.15,245.74,245.74,"8,448,600"
"Jan 10, 2025",248.01,249.04,247.55,248.21,248.21,"12,380,100"
"Jan 8, 2025",245.72,246.45,244.51,245.86,245.86,"6,303,300"
"Jan 7, 2025",245.52,245.77,243.81,244.56,244.56,"5,090,300"
"Jan 6, 2025",242.33,243.79,242.05,243.19,243.19,"3,758,900"
"Jan 3, 2025",244.56,244.82,243.36,243.49,243.49,"4,872,100"
"Jan 2, 2025",244.22,245.53,244.08,245.42,245.42,"6,241,900"
"Dec 31, 2024",241.05,242.52,241.05,242.13,242.13,"2,522,100"
"Dec 30, 2024",241.08,241.08,239.58,240.63,240.63,"3,522,500"
"Dec 27, 2024",241.2,241.95,241.05,241.4,241.4,"4,728,100"
"Dec 26, 2024",242.39,243.56,242.2,243.07,243.07,"4,645,100"
"Dec 24, 2024",241.49,241.66,240.82,241.44,241.44,"2,421,000"
"Dec 23, 2024",241.6,241.67,240.65,240.96,240.96,"5,835,500"
"Dec 20, 2024",241.41,242.96,241.17,242.1,242.1,"9,527,800"
"Dec 19, 2024",239.67,240.05,238.73,239.6,239.6,"8,111,400"
"Dec 18, 2024",243.57,243.71,238.82,239.26,239.26,"8,015,800"
"Dec 17, 2024",243.8,244.55,243.23,243.94,243.94,"4,421,300"
"Dec 16, 2024",245.41,245.54,244.29,244.88,244.88,"3,310,000"
"Dec 13, 2024",245.67,245.94,244.27,244.29,244.29,"6,602,600"
"Dec 12, 2024",247.81,248.24,246.87,247.28,247.28,"10,149,600"
"Dec 11, 2024",249.35,251.26,248.97,250.96,250.96,"11,033,800"
"Dec 10, 2024",247.86,248.86,247.83,248.59,248.59,"4,642,000"
"Dec 9, 2024",246.28,247.11,245.26,245.36,245.36,"4,711,500"
"Dec 6, 2024",242.79,243.86,242.44,242.95,242.95,"3,540,700"
"Dec 5, 2024",244.16,244.38,242.15,242.86,242.86,"4,806,200"
"Dec 4, 2024",244.93,245.34,244.37,244.67,244.67,"4,608,600"
"Dec 3, 2024",244.96,245.18,243.3,243.93,243.93,"3,557,800"
"Dec 2, 2024",244.46,244.58,243.14,243.44,243.44,"4,765,000"
"Nov 29, 2024",245.25,245.81,244.73,245.59,245.59,"2,708,500"
"Nov 27, 2024",244.85,245.18,243.2,243.49,243.49,"6,930,600"
"Nov 26, 2024",242.71,243.09,241.58,242.95,242.95,"4,945,900"
"Nov 25, 2024",244.27,244.4,241.48,242.48,242.48,"10,733,100"
"Nov 22, 2024",248.2,250.39,247.86,249.84,249.84,"7,503,000"
"Nov 21, 2024",246.23,246.81,245.69,246.66,246.66,"7,646,400"
"Nov 20, 2024",243.74,245.21,243.51,244.62,244.62,"6,630,700"
"Nov 19, 2024",242.75,243.31,242.03,243.25,243.25,"6,579,100"
"Nov 18, 2024",240.46,241.5,240.45,241.09,241.09,"6,513,000"
"Nov 15, 2024",237.57,237.88,236.33,236.59,236.59,"7,299,500"
"Nov 14, 2024",236.57,237.99,236.13,237.01,237.01,"8,262,400"
"Nov 13, 2024",241.31,241.47,237.59,237.63,237.63,"8,431,700"
"Nov 12, 2024",241.29,241.66,239.39,240.05,240.05,"10,145,500"
"Nov 11, 2024",242.73,242.73,241.06,242.14,242.14,"11,653,800"
"Nov 8, 2024",249.07,249.35,247.78,247.96,247.96,"6,267,900"
"Nov 7, 2024",248.29,250.24,248.12,249.65,249.65,"8,821,400"
"Nov 6, 2024",245.64,247.35,244.95,245.7,245.7,"14,600,200"
"Nov 5, 2024",253.78,253.99,252.41,253.4,253.4,"6,029,900"
"Nov 4, 2024",253.32,253.58,252.27,252.83,252.83,"4,581,400"
"Nov 1, 2024",254.33,254.86,252.44,252.47,252.47,"6,473,000"
"Oct 31, 2024",255.52,255.6,252.2,253.51,253.51,"9,930,800"
"Oct 30, 2024",256.76,257.71,255.91,257.5,257.5,"6,386,200"
"Oct 29, 2024",254.49,256.29,254.23,256.09,256.09,"8,875,500"
"Oct 28, 2024",253.01,253.63,252.95,253.33,253.33,"4,029,100"
"Oct 25, 2024",252,253.55,251.77,253.32,253.32,"4,424,500"
"Oct 24, 2024",253.27,253.32,251.4,252.8,252.8,"5,962,200"
"Oct 23, 2024",253.08,253.18,250.2,250.87,250.87,"8,081,000"
"Oct 22, 2024",253.06,253.94,252.52,253.93,253.93,"5,756,300"
"Oct 21, 2024",252.74,253.14,250.73,251.22,251.22,"9,258,600"
"Oct 18, 2024",250,251.37,249.9,251.27,251.27,"7,833,600"
"Oct 17, 2024",247.75,249.06,247.62,248.63,248.63,"5,176,200"
"Oct 16, 2024",247.62,248.09,246.36,247.15,247.15,"5,431,900"
"Oct 15, 2024",244.99,246.55,244.53,245.92,245.92,"5,640,800"
"Oct 14, 2024",245.16,245.86,244.26,245.07,245.07,"3,922,900"
"Oct 11, 2024",244.5,245.92,244.47,245.47,245.47,"5,789,500"
"Oct 10, 2024",241.77,243.02,241.51,242.82,242.82,"4,792,700"
"Oct 9, 2024",241.16,241.84,240.64,241.05,241.05,"4,120,500"
"Oct 8, 2024",243.79,244.04,240.63,242.37,242.37,"7,669,800"
"Oct 7, 2024",244.58,244.82,243.81,244.17,244.17,"3,849,000"
"Oct 4, 2024",245,246.69,244.05,245,245,"5,947,800"
"Oct 3, 2024",244.72,245.91,243.69,245.49,245.49,"5,674,500"
"Oct 2, 2024",245.61,246.07,243.99,245.66,245.66,"6,798,800"
"Oct 1, 2024",245.2,246.98,245.06,245.61,245.61,"10,605,500"
"Sep 30, 2024",243.97,244.08,242.5,243.06,243.06,"6,916,700"
"Sep 27, 2024",246.31,246.75,244.19,245.02,245.02,"8,329,600"
"Sep 26, 2024",246.44,247.37,245.19,246.98,246.98,"7,041,100"
"Sep 25, 2024",246.19,246.47,244.79,245.73,245.73,"7,393,400"
"Sep 24, 2024",243.39,246.19,243.15,246.07,246.07,"8,386,300"
"Sep 23, 2024",242.97,243.46,242.59,242.68,242.68,"5,426,200"
"Sep 20, 2024",241.11,242.63,240.47,242.21,242.21,"7,737,400"
"Sep 19, 2024",238.24,239.52,237.39,239.17,239.17,"6,108,200"
"Sep 18, 2024",238.19,240.29,235.3,235.51,235.51,"11,081,100"
"Sep 17, 2024",238.08,238.6,236.61,237.34,237.34,"5,257,100"
"Sep 16, 2024",238.73,239.28,238.05,238.66,238.66,"4,713,500"
"Sep 13, 2024",238.13,238.98,237.76,238.68,238.68,"7,455,100"
"Sep 12, 2024",234.63,236.45,234.42,236.33,236.33,"9,945,000"
"Sep 11, 2024",231.72,232.87,231.09,232.25,232.25,"4,637,300"
"Sep 10, 2024",232.39,232.74,231.12,232.62,232.62,"4,378,300"
"Sep 9, 2024",231.26,231.62,230.39,231.6,231.6,"3,548,800"
"Sep 6, 2024",231.83,232.76,229.62,230.63,230.63,"6,315,800"
"Sep 5, 2024",232.72,232.89,231.33,232.35,232.35,"4,838,100"
"Sep 4, 2024",229.79,231.06,229.38,230.43,230.43,"4,696,000"
"Sep 3, 2024",230.38,230.54,228.52,230.29,230.29,"6,417,900"
"Aug 30, 2024",232.53,232.86,230.55,231.29,231.29,"5,743,000"
"Aug 29, 2024",231.95,233.61,231.92,232.95,232.95,"5,524,200"
"Aug 28, 2024",232,232.02,230.73,231.75,231.75,"4,961,500"
"Aug 27, 2024",231.69,233.47,231.57,233.39,233.39,"4,435,600"
"Aug 26, 2024",233.45,233.5,232.06,232.76,232.76,"3,151,400"
"Aug 23, 2024",231.04,232.73,230.52,232.02,232.02,"5,418,200"
"Aug 22, 2024",230.35,230.38,228.26,229.37,229.37,"5,765,400"
"Aug 21, 2024",231.69,232.87,230.48,232.15,232.15,"5,337,400"
"Aug 20, 2024",233.71,234.01,231.13,232.46,232.46,"9,073,600"
"Aug 19, 2024",230.15,231.78,229.74,231.61,231.61,"5,164,800"
"Aug 16, 2024",229.99,232.02,229.01,231.99,231.99,"11,924,500"
"Aug 15, 2024",226.51,227.5,225.12,226.91,226.91,"5,273,300"
"Aug 14, 2024",226.55,227.48,225.35,226.2,226.2,"5,462,500"
"Aug 13, 2024",228.07,228.87,227.59,228.06,228.06,"6,740,200"
"Aug 12, 2024",226.14,228.54,225.97,228.41,228.41,"5,561,300"
"Aug 9, 2024",224.82,225.28,223.82,224.56,224.56,"4,441,000"
"Aug 8, 2024",222.73,224.25,222.52,224.01,224.01,"6,327,100"
"Aug 7, 2024",221.94,222.31,220.35,220.55,220.55,"5,287,800"
"Aug 6, 2024",221.5,222.14,220.11,220.7,220.7,"14,362,300"
"Aug 5, 2024",220.56,223.1,220.24,222.48,222.48,"8,939,000"
"Aug 2, 2024",227.95,228.76,222.87,225.34,225.34,"11,109,400"
"Aug 1, 2024",226.74,227.57,225.05,225.77,225.77,"7,217,200"
"Jul 31, 2024",223.73,226.6,223.64,226.55,226.55,"7,316,600"
"Jul 30, 2024",221.41,222.92,220.36,222.52,222.52,"4,939,500"
"Jul 29, 2024",221.26,221.55,219.05,220.32,220.32,"4,665,100"
"Jul 26, 2024",219.96,221.04,219.7,220.63,220.63,"6,328,800"
"Jul 25, 2024",219.02,219.26,217.52,218.33,218.33,"9,777,100"
"Jul 24, 2024",223.47,224.88,221.74,221.8,221.8,"6,838,800"
"Jul 23, 2024",222.34,222.75,221.86,222.58,222.58,"4,435,700"
"Jul 22, 2024",221.58,221.92,220.4,221.8,221.8,"5,334,100"
"Jul 19, 2024",221.52,222.68,221.41,221.73,221.73,"8,666,000"
"Jul 18, 2024",227.71,228.32,225.57,225.78,225.78,"5,485,500"
"Jul 17, 2024",228.79,229.65,226.67,227.23,227.23,"8,620,500"
"Jul 16, 2024",225.45,228.29,225.3,228.29,228.29,"11,070,700"
"Jul 15, 2024",223.39,225.59,223.02,223.83,223.83,"5,719,300"
"Jul 12, 2024",222.03,223.62,221.86,223.11,223.11,"5,179,300"
"Jul 11, 2024",222.65,224.15,221.48,223.25,223.25,"9,322,000"
"Jul 10, 2024",220.14,220.71,219.16,219.36,219.36,"5,556,200"
"Jul 9, 2024",218.57,219.29,217.27,218.56,218.56,"3,901,500"
"Jul 8, 2024",219.64,220.04,217.41,218.19,218.19,"5,790,800"
"Jul 5, 2024",219.58,221.28,219.58,220.93,220.93,"5,950,600"
"Jul 3, 2024",217.34,218.74,217.33,217.99,217.99,"5,055,300"
"Jul 2, 2024",215.33,216.08,214.62,215.56,215.56,"4,921,700"
"Jul 1, 2024",215.25,216,214.49,215.57,215.57,"3,797,900"
"Jun 28, 2024",215.64,215.81,214.82,215.01,215.01,"3,955,100"
"Jun 27, 2024",214.71,215.5,214.45,214.99,214.99,"4,977,800"
"Jun 26, 2024",212.39,213.11,212.12,212.58,212.58,"4,690,300"
"Jun 25, 2024",214.96,215.31,214.12,214.56,214.56,"3,847,700"
"Jun 24, 2024",215.55,215.94,215.2,215.63,215.63,"4,626,900"
"Jun 21, 2024",217.83,217.9,214.26,214.78,214.78,"8,935,400"
"Jun 20, 2024",216.32,218.74,216.15,218.16,218.16,"7,290,500"
"Jun 18, 2024",214.38,215.83,214.04,215.47,215.47,"4,921,400"
"Jun 17, 2024",214.9,215.24,213.6,214.61,214.61,"3,877,700"
"Jun 14, 2024",215.34,216.04,214.98,215.73,215.73,"7,076,500"
"Jun 13, 2024",214.44,214.96,212.26,212.97,212.97,"5,861,100"
"Jun 12, 2024",216.47,216.55,214.2,214.72,214.72,"5,911,900"
"Jun 11, 2024",213.95,214.38,213.24,214.15,214.15,"4,004,100"
"Jun 10, 2024",213.13,214.02,212.76,213.54,213.54,"4,219,600"
"Jun 7, 2024",215.07,215.19,211.54,211.6,211.6,"12,195,100"
"Jun 6, 2024",218.36,219.97,218.1,219.43,219.43,"5,283,900"
"Jun 5, 2024",216.69,218.08,215.93,217.82,217.82,"5,479,200"
"Jun 4, 2024",216.24,216.24,214.2,215.27,215.27,"5,509,400"
"Jun 3, 2024",215.92,217.82,215.54,217.22,217.22,"6,172,600"
"May 31, 2024",217.77,217.96,214.65,215.3,215.3,"5,617,200"
"May 30, 2024",216.69,217.51,216.41,216.57,216.57,"3,071,300"
"May 29, 2024",216.92,217.16,216.12,216.16,216.16,"4,185,000"
"May 28, 2024",218.43,218.59,217.21,218.19,218.19,"3,809,700"
"May 24, 2024",216.96,217.21,215.74,215.92,215.92,"4,208,800"
"May 23, 2024",218.78,219.23,215.66,215.72,215.72,"9,537,900"
"May 22, 2024",223.09,223.24,219.74,220.11,220.11,"8,903,100"
"May 21, 2024",224.77,225.21,223.7,224.23,224.23,"4,002,600"
"May 20, 2024",223.79,225.66,223.02,224.56,224.56,"5,990,900"
"May 17, 2024",222.18,223.85,221.67,223.66,223.66,"10,481,900"
